q,u,Nu,xi,beta,ks_p
0.9,0.0196295,262,-0.41829756916902283,0.0,
0.9039583333333333,0.02003731875,252,-0.5229347996952103,0.0,
0.9079166666666667,0.020872233333333337,241,-0.6382088240766735,0.0,
0.911875,0.021152674999999992,231,-1.0823497323861118,0.0,
0.9158333333333334,0.022201275000000006,221,-1.0735338991664558,0.0,
0.9197916666666667,0.02311119270833336,210,-1.1163419220292476,0.0,
0.9237500000000001,0.024119637500000044,200,-1.1715077017286593,0.0,
0.9277083333333334,0.025281184374999988,190,-1.2062056082353318,0.0,
0.9316666666666666,0.026621658333333336,179,-1.2556767021130835,0.0,
0.935625,0.027579518750000014,169,-1.2680997821254913,0.0,
0.9395833333333333,0.028424,157,-1.3776274548536698,0.0,
0.9435416666666667,0.02898672291666667,148,-1.3724953747676483,0.0,
0.9475,0.030177062500000032,138,-1.4850965872349176,0.0,
0.9514583333333333,0.03181866874999999,127,-1.5736110100768281,0.0,
0.9554166666666667,0.03386453333333333,117,-1.625891850562847,0.0,
0.959375,0.036303515625000005,107,-1.719429768039204,0.0,
0.9633333333333334,0.038207816666666665,96,-1.8666388302415244,0.0,
0.9672916666666667,0.041791005208333266,86,-1.9695710537906501,0.0,
0.97125,0.04458164999999997,76,-2.261329465782506,0.0,
0.9752083333333333,0.047944332291666676,65,-2.23597577684506,0.0,
0.9791666666666666,0.05281197916666662,55,-2.2965471683737375,0.0,
0.983125,0.05661316250000003,45,-2.693874703097684,0.0,
0.9870833333333333,0.06420537916666656,34,-1.9011269196225506,0.0,
0.9910416666666666,0.06667523645833331,24,-1.2083271904292348,0.0,
